43.133.237.158:8443#KR 124ms 19Mbps tcp188ms
54.150.9.209:443#JP 95ms 17Mbps tcp148ms
119.28.162.39:8443#KR 244ms 17Mbps tcp169ms
77.93.90.231:443#SG 117ms 16Mbps tcp204ms
43.155.221.27:8443#KR 147ms 16Mbps tcp169ms
47.245.62.50:443#JP 88ms 16Mbps tcp148ms
123.202.201.128:8443#HK 244ms 15Mbps tcp188ms
47.237.187.96:2053#SG 122ms 13Mbps tcp211ms
45.89.232.141:443#JP 95ms 12Mbps tcp156ms
56.68.80.78:443#MY 113ms 13Mbps tcp216ms
8.219.195.31:443#JP 101ms 11Mbps tcp211ms
103.118.42.136:8443#TW 451ms 11Mbps tcp189ms
103.39.79.229:2083#HK 428ms 11Mbps tcp229ms
122.10.119.252:443#HK 304ms 11Mbps tcp224ms
43.255.243.104:443#TH 183ms 11Mbps tcp232ms
1.162.65.16:8443#TW 461ms 11Mbps tcp177ms
43.168.16.112:443#HK 47ms tcp224ms
8.222.193.153:443#JP 104ms 9Mbps tcp213ms
141.11.43.55:443#SG tcp198ms
151.242.189.137:443#TW tcp177ms
45.143.129.87:2053#US 213ms 9Mbps tcp52ms
31.77.228.53:443#KR tcp126ms
45.147.49.244:443#DE 180ms 10Mbps tcp112ms
104.194.134.81:443#NL tcp93ms
157.254.18.180:443#GB tcp49ms
134.209.19.200:443#FR tcp93ms
138.124.6.148:443#FI tcp110ms
64.188.81.193:443#SE tcp107ms
79.132.141.125:443#CH tcp106ms
91.211.27.67:443#PL tcp112ms
13.140.16.117:443#LV tcp119ms
167.160.188.156:443#CA tcp12ms
125.7.24.251:443#AU 402ms 8Mbps tcp188ms
193.233.216.219:443#RU tcp124ms
43.229.148.43:443#TH 185ms 10Mbps tcp233ms
47.250.124.22:443#MY tcp210ms
123.58.199.241:443#VN tcp237ms
139.84.221.153:8443#IN 1366ms 9Mbps tcp234ms
31.77.202.28:443#HK tcp132ms
156.231.115.96:443#JP tcp132ms
45.92.158.56:443#SG tcp200ms
78.105.182.216:443#TW tcp177ms
159.60.146.81:443#US tcp2ms
146.56.180.103:443#KR tcp162ms
45.147.48.147:443#DE 179ms 9Mbps tcp112ms
107.189.17.141:443#NL tcp93ms
104.194.144.105:443#GB tcp91ms
5.157.51.83:443#FR tcp94ms
138.124.6.250:443#FI tcp110ms
158.179.206.143:443#SE tcp108ms
185.195.69.158:443#CH tcp107ms
185.151.246.245:443#PL tcp113ms
169.40.1.153:443#LV tcp119ms
166.1.228.187:443#CA tcp13ms
51.161.131.192:443#AU tcp181ms
193.233.231.126:443#RU tcp124ms
43.249.32.13:443#TH 179ms 9Mbps tcp231ms
47.250.212.59:443#MY tcp210ms
103.199.18.23:443#VN tcp260ms
139.84.146.103:8443#IN 1339ms 8Mbps tcp230ms
45.8.173.182:443#HK tcp140ms
31.58.223.210:443#JP tcp132ms
62.146.232.232:443#SG tcp200ms
82.152.91.210:443#TW tcp184ms
159.60.146.82:443#US tcp2ms
152.70.254.197:443#KR tcp162ms
64.118.159.219:443#DE 154ms 9Mbps tcp255ms
104.194.134.16:443#NL tcp94ms
172.166.113.27:443#GB tcp91ms
158.178.215.52:443#FR tcp95ms
144.31.7.71:443#FI tcp110ms
5.175.236.54:443#SE tcp108ms
194.246.118.199:443#CH tcp107ms
31.169.126.66:443#PL tcp113ms
169.40.1.34:443#LV tcp119ms
166.1.228.218:443#CA tcp13ms
170.64.229.30:443#AU tcp182ms
193.233.248.210:443#RU tcp124ms
117.18.127.41:443#TH 350ms 9Mbps tcp232ms
163.61.103.239:443#MY tcp211ms
103.15.91.219:443#VN tcp270ms
65.20.85.14:443#IN tcp196ms
207.57.128.194:443#HK tcp175ms
87.83.100.32:443#JP tcp132ms
217.216.109.249:443#SG tcp202ms
2.27.174.137:443#TW tcp188ms
172.234.24.35:443#US tcp2ms
64.110.70.64:443#KR tcp162ms
149.248.199.173:443#DE tcp2ms
107.189.17.140:443#NL tcp94ms
18.134.196.127:443#GB tcp91ms
147.90.26.92:443#FR tcp96ms
178.17.61.231:443#FI tcp110ms
132.243.247.198:443#SE tcp112ms
199.68.196.28:443#CH tcp107ms
64.176.68.73:443#PL tcp113ms
216.173.69.114:443#LV tcp119ms
167.160.190.137:443#CA tcp13ms
170.64.237.192:443#AU tcp182ms
83.147.255.84:443#RU tcp124ms
43.255.243.193:443#TH 189ms 9Mbps tcp231ms
149.118.156.142:443#MY tcp218ms
163.61.74.121:443#VN tcp274ms
216.10.243.159:443#IN tcp197ms
217.60.38.113:443#HK tcp176ms
103.47.186.14:443#JP tcp134ms
